Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5131,The Perennial Philosophy,Aldous Huxley,"Huxley, Aldous",,"=""006057058X""","=""9780060570583""",0,Harper Perennial Modern Classics,Paperback,336,2004,1945,,2024/04/27,to-read,to-read (#37),to-read,,,,0,0
821380,Myths to Live By,Joseph Campbell,"Campbell, Joseph",Johnson E. Fairchild,"=""0140194614""","=""9780140194616""",4,Penguin Compass,Paperback,276,1993,1972,2024/04/25,2024/03/28,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",4,Houghton Mifflin,Paperback,366,2002,1937,2024/04/23,2024/04/17,,,read,,,,1,0
34272476,Devotions: The Selected Poems of Mary Oliver,Mary Oliver,"Oliver, Mary",,"=""0399563245""","=""9780399563249""",4,Penguin Press,Hardcover,456,2017,2017,2024/04/19,2024/01/12,,,read,,,,1,0
175141,The Courage to Be,Paul Tillich,"Tillich, Paul",,"=""0300084714""","=""9780300084719""",3,Yale University Press,Paperback,200,2000,1952,2024/04/16,2024/04/15,,,read,,,,1,0
530114,"""Believing Women"" in Islam: Unreading Patriarchal Interpretations of the Qur'an",Asma Barlas,"Barlas, Asma",,"=""0292709048""","=""9780292709041""",0,Univ of Texas Pr,Paperback,274,2002,2002,,2024/04/15,to-read,to-read (#36),to-read,,,,0,0
35519,The Power of Myth,Joseph Campbell,"Campbell, Joseph",Bill Moyers,"=""0385418868""","=""9780385418867""",0,Anchor,Paperback,293,1988,1988,,2024/04/13,on-the-bookshelf,on-the-bookshelf (#71),on-the-bookshelf,,,,0,0
579455,Inner Work: Using Dreams and Active Imagination for Personal Growth,Robert A. Johnson,"Johnson, Robert A.",,"=""0062504312""","=""9780062504319""",5,HarperOne,Paperback,221,1989,1986,2024/04/13,2024/04/08,,,read,,,,1,0
2761,The Denial of Death,Ernest Becker,"Becker, Ernest",Sam Keen,"=""""","=""""",5,Free Press,Paperback,336,1997,1973,2024/04/07,2024/03/30,,,read,,,,1,0
166997,Stoner,John  Williams,"Williams, John",John McGahern,"=""1590171993""","=""9781590171998""",5,New York Review Books,Paperback,292,2006,1965,2024/04/05,2024/04/02,,,read,,,,1,0
182733784,Nuclear War: A Scenario,Annie Jacobsen,"Jacobsen, Annie",,"=""0593476093""","=""9780593476093""",0,Dutton,Hardcover,373,2024,2024,,2024/04/05,to-read,to-read (#35),to-read,,,,0,0
665852,Man's Search for Himself,Rollo May,"May, Rollo",,"=""0285621378""","=""9780285621374""",0,Souvenir Press Ltd ,Paperback,284,1982,1953,,2024/02/28,on-the-bookshelf,on-the-bookshelf (#70),on-the-bookshelf,,,,0,0
144925,Muhammad: His Life Based on the Earliest Sources,Martin Lings,"Lings, Martin",,"=""1594771537""","=""9781594771538""",0,Inner Traditions,Paperback,384,2006,1983,,2024/02/23,on-the-bookshelf,on-the-bookshelf (#69),on-the-bookshelf,,,,0,0
